ipid;name;lange_bahntunnel;1_inbetr_jahr_bahntunnel;tunnelsystem;bemerkung;linie;km_go;kanton;geopos
15125102.0;Tunnel de Champel 1;494.0;2019;1-Röhre / 2-Spuren;;152;68.674;Genève;46.18958736168539, 6.154392510049298
15125105.0;Halte Genève-Eaux-Vives;657.0;2019;1-Röhre / 2-Spuren;;152;70.457;Genève;46.20095076923083, 6.1672572826873315
15125108.0;TC Franck Thomas Gradelle;1460.0;2019;1-Röhre / 2-Spuren;;152;70.8;Genève;46.20202554825157, 6.178916592478579
15125245.0;TC du Foron;1136.0;2019;1-Röhre / 2-Spuren;;152;73.24;Genève;46.1956829471277, 6.2054640784191255
15311989.0;Tunnel des Epoisats;431.0;1886;1-Röhre / 1-Spur;;201;9.838;Vaud;46.68012335256161, 6.337012837924744
4569549.0;Tunnel du Mormont nord 4;188.0;2010;1-Röhre / 1-Spur;;210;22.061;Vaud;46.66318141312946, 6.551542367969584
4696796.0;Tunnel du Mormont nord 2;182.0;1856;1-Röhre / 1-Spur;;210;22.068;Vaud;46.663181481097155, 6.5497198744831095
272249.0;Tunnel de St-Blaise (004);155.0;1927;1-Röhre / 2-Spuren;;210;80.141;Neuchâtel;47.01781449240183, 6.990961838152032
1401816.0;Tunnel Places-Bourgeoises;70.0;1860;1-Röhre / 1-Spur;;219;15.478;Neuchâtel;46.95307233150387, 6.753856717090058
770191.0;Tunnel du Gibet(010);678.0;1859;1-Röhre / 1-Spur;;223;2.654;Neuchâtel;46.98810641844862, 6.903735912255663
394684.0;Tunnel du col des Roches (073);433.0;1884;1-Röhre / 1-Spur;107m gehört Frankreich;224;39.507;Neuchâtel;47.049832330998164, 6.71778500350651
1277974.0;Tunnel de Taubenloch 1 ( 039 );239.0;1874;1-Röhre / 1-Spur;;225;37.973;Bern;47.160008381033236, 7.262244872646675
595526.0;Tunnel de Combe (Creux, 076);230.0;1888;1-Röhre / 1-Spur;;225;77.08;Neuchâtel;47.09946660921958, 6.834755716305562
513161.0;Tunnel de Court 1 (066);12.0;1877;1-Röhre / 1-Spur;;226;67.838;Bern;47.24543652792869, 7.348601201253969
513172.0;Tunnel de Court 2 (067);184.0;1900;1-Röhre / 1-Spur;;226;68.061;Bern;47.24655997331835, 7.346156049639627
513223.0;Tunnel de Moutier 3 (050);7.0;1876;1-Röhre / 1-Spur;;226;73.962;Bern;47.285229136665755, 7.380824245782441
513233.0;Tunnel de Moutier 4 (051);8.0;1876;1-Röhre / 1-Spur;;226;74.073;Bern;47.28632470868339, 7.381013956199332
513248.0;Tunnel de Moutier 6 (053);23.0;1876;1-Röhre / 1-Spur;;226;74.721;Bern;47.291615199052906, 7.380007248861511
1074891.0;Tunnel de Choindez 1 (059);29.0;1876;1-Röhre / 2-Spuren;;226;79.343;Jura;47.32520273350692, 7.3750188682584366
1075154.0;Tunnel de Vorbourg (046);37.0;1875;1-Röhre / 1-Spur;;230;86.665;Jura;47.37637896517879, 7.362106632004667
1075134.0;Tunnel du Château (061);230.0;1877;1-Röhre / 1-Spur;;240;102.299;Jura;47.368468467682234, 7.157791790991181
